Image,BlockSize,Time_ms,GPU_Used_Mem[MB],PSNR,PSNR_Filtered
image_4K_noise50,8,21.7461,287,26.3601,23.5988
image_4K_noise50,16,9.99421,287,26.3601,23.5988
image_4K_noise50,24,9.47958,287,26.3601,23.5988
image_4K_noise50,32,8.44611,287,26.3601,23.5988
image_4K_noise75,8,8.64506,287,21.2626,22.5861
image_4K_noise75,16,8.36006,287,21.2626,22.5861
image_4K_noise75,24,8.50842,287,21.2626,22.5861
image_4K_noise75,32,8.54144,287,21.2626,22.5861
image_4K_noise90,8,8.65626,287,18.9769,21.71
image_4K_noise90,16,9.61296,287,18.9769,21.71
image_4K_noise90,24,8.48496,287,18.9769,21.71
image_4K_noise90,32,8.464,287,18.9769,21.71
