Image,BlockSize,Time_ms,GPU_Used_Mem[MB],PSNR,PSNR_Filtered
resized_pexels-christian-heitz_4K,8,14.3364,287,361.202,24.109
resized_pexels-christian-heitz_4K,16,10.0215,287,361.202,24.109
resized_pexels-christian-heitz_4K,24,9.19891,287,361.202,24.109
resized_pexels-christian-heitz_4K,32,9.42624,287,361.202,24.109
resized_pexels-christian-heitz_8K,8,32.746,335,361.202,25.5588
resized_pexels-christian-heitz_8K,16,32.538,335,361.202,25.5588
resized_pexels-christian-heitz_8K,24,33.2349,335,361.202,25.5588
resized_pexels-christian-heitz_8K,32,32.5473,335,361.202,25.5588
resized_pexels-christian-heitz_16K,8,125.906,527,361.202,26.2738
resized_pexels-christian-heitz_16K,16,123.884,527,361.202,26.2738
resized_pexels-christian-heitz_16K,24,124.687,527,361.202,26.2738
resized_pexels-christian-heitz_16K,32,127.37,527,361.202,26.2738
