Image,BlockSize,Time_ms,GPU_Used_Mem[MB],PSNR,PSNR_Filtered
image_4K_noise50,8,14.8231,287,26.3601,23.5988
image_4K_noise50,16,9.68525,287,26.3601,23.5988
image_4K_noise50,24,9.79747,287,26.3601,23.5988
image_4K_noise50,32,9.56621,287,26.3601,23.5988
image_4K_noise75,8,8.65834,287,21.2626,22.5861
image_4K_noise75,16,8.54131,287,21.2626,22.5861
image_4K_noise75,24,8.69402,287,21.2626,22.5861
image_4K_noise75,32,8.76986,287,21.2626,22.5861
image_4K_noise90,8,8.69459,287,18.9769,21.71
image_4K_noise90,16,8.52358,287,18.9769,21.71
image_4K_noise90,24,9.8695,287,18.9769,21.71
image_4K_noise90,32,8.55638,287,18.9769,21.71
