DIM,PROCS,AVG_TIME,PERCENT_ERROR,TOTAL_RUNS,FAILED_RUNS,REF_AVG,SPEEDUP_REF,SPEEDUP,EFFICENCY
500,1,2.1373660000000005,0.0,10.0,0.0,0.3786042,0.17713587658828667,1.0,100.0
500,2,1.7743262000000002,0.0,10.0,0.0,0.3786042,0.21337914076904232,1.2046071348098226,60.23035674049113
500,3,1.3945275,0.0,10.0,0.0,0.3786042,0.27149281745967724,1.5326811411033492,51.089371370111635
500,4,0.9042845999999999,0.0,10.0,0.0,0.3786042,0.4186781462384741,2.363598805066459,59.08997012666147
500,5,0.823819,0.0,10.0,0.0,0.3786042,0.4595720661941519,2.5944606764349945,51.889213528699884
500,6,0.7380017999999999,0.0,10.0,0.0,0.3786042,0.513012569888041,2.896152827811532,48.269213796858864
500,7,0.6040330999999999,0.0,10.0,0.0,0.3786042,0.6267937965651221,3.538491516441733,50.54987880631047
500,8,0.5131022999999999,0.0,10.0,0.0,0.3786042,0.7378727399974626,4.165574779142485,52.069684739281065
500,9,0.4494528000000001,0.0,10.0,0.0,0.3786042,0.8423669849203296,4.755484891850712,52.838721020563476
500,10,0.6560499999999999,0.0,10.0,0.0,0.3786042,0.5770965627619847,3.2579315600945065,32.579315600945066
500,11,0.3805917,0.0,10.0,0.0,0.3786042,0.9947778682509367,5.615902816587962,51.053661968981466
500,12,0.3702514,0.0,10.0,0.0,0.3786042,1.0225598066610957,5.772742520352389,48.10618766960324
500,13,0.3233311,0.0,10.0,0.0,0.3786042,1.1709489127399129,6.610455969128861,50.84966130099124
500,14,0.5587395,0.0,10.0,0.0,0.3786042,0.6776041428966451,3.8253354201734453,27.323824429810323
500,15,0.25883730000000005,0.0,10.0,0.0,0.3786042,1.4627111316645627,8.257565659972501,55.050437733150005
500,16,0.26808909999999997,0.0,10.0,0.0,0.3786042,1.412232724120451,7.9725956780786715,49.828722987991696
500,17,0.2358203,0.0,10.0,0.0,0.3786042,1.6054775606680172,9.063536938931891,53.3149231701876
500,18,0.40021969999999996,0.0,10.0,0.0,0.3786042,0.9459909144902163,5.340481740404085,29.66934300224492
500,19,0.22052070000000001,0.0,10.0,0.0,0.3786042,1.7168646752889865,9.69235994625448,51.012420769760425
500,20,0.21942089999999997,0.0,10.0,0.0,0.3786042,1.7254700896769635,9.74094081283962,48.704704064198104
500,21,0.228768,0.0,10.0,0.0,0.3786042,1.6549701007133866,9.342941320464403,44.490196764116206
500,22,0.41283329999999996,0.0,10.0,0.0,0.3786042,0.9170873570518658,5.177310066799361,23.533227576360733
500,23,0.206919,0.0,10.0,0.0,0.3786042,1.8297217751873922,10.329481584581409,44.91078949818004
500,24,0.19931400000000002,0.0,10.0,0.0,0.3786042,1.8995364098859084,10.723611989122693,44.681716621344556
500,25,0.3254009,0.0,10.0,0.0,0.3786042,1.1635007770414896,6.5684083848569585,26.27363353942783
500,26,0.2847632000000001,0.0,10.0,0.0,0.3786042,1.3295404743309525,7.505766194508278,28.86833151733953
500,27,0.1584347,0.0,10.0,0.0,0.3786042,2.3896545390624655,13.490516913277208,49.96487745658225
500,28,0.40876999999999997,0.0,10.0,0.0,0.3786042,0.9262034885143235,5.22877412725983,18.67419331164225
500,29,0.16512290000000002,0.0,10.0,0.0,0.3786042,2.292863073504644,12.944091946059574,44.634799813998534
500,30,0.28444709999999995,0.0,10.0,0.0,0.3786042,1.331017964324474,7.514107192514886,25.04702397504962
500,31,0.1685971,0.0,10.0,0.0,0.3786042,2.245615138101426,12.677359219108753,40.894707158415336
500,32,0.2190146,0.0,10.0,0.0,0.3786042,1.728671056632754,9.759011499689977,30.49691093653118
500,33,0.2128598,0.0,10.0,0.0,0.3786042,1.7786552463170595,10.041191432106958,30.427852824566536
500,34,0.2514406,0.0,10.0,0.0,0.3786042,1.5057401231145646,8.500480829269419,25.001414203733585
500,35,0.3115061,0.0,10.0,0.0,0.3786042,1.21539899218667,6.861393725516131,19.603982072903232
500,36,0.15289809999999998,0.0,10.0,0.0,0.3786042,2.47618642743108,13.97902263010463,38.83061841695731
500,37,0.12099960000000001,0.0,10.0,0.0,0.3786042,3.1289706742832206,17.66424021236434,47.74118976314687
500,38,0.22856449999999998,0.0,10.0,0.0,0.3786042,1.6564435859461992,9.351259710059965,24.60857818436833
500,39,0.12468030000000001,0.0,10.0,0.0,0.3786042,3.0366000081809235,17.142772354574063,43.95582655018991
500,40,0.11570689999999999,0.0,10.0,0.0,0.3786042,3.2720969968083153,18.47224322836409,46.180608070910225
500,41,0.1170253,0.0,10.0,0.0,0.3786042,3.235233748599662,18.26413604579523,44.54667328242739
500,42,0.24659910000000002,0.0,10.0,0.0,0.3786042,1.5353024402765458,8.667371454315933,20.636598700752224
500,43,0.26795519999999995,0.0,10.0,0.0,0.3786042,1.4129384314989972,7.976579667048823,18.550185272206566
500,44,0.1173592,0.0,10.0,0.0,0.3786042,3.2260291481196193,18.212172543780127,41.39130123586393
500,45,0.116679,0.0,10.0,0.0,0.3786042,3.244835831640655,18.318343489402555,40.70742997645012
500,46,0.1881646,0.0,10.0,0.0,0.3786042,2.0120904782302307,11.359022898037148,24.69352803921119
500,47,0.1270695,0.0,10.0,0.0,0.3786042,2.979504916600758,16.82044865211558,35.78818862152251
500,48,0.1121309,0.0,10.0,0.0,0.3786042,3.376448418767708,19.061347050634573,39.71113968882203
500,49,0.1065462,0.0,10.0,0.0,0.3786042,3.553427527213547,20.060462034310007,40.93971843736736
500,50,0.18979880000000002,0.0,10.0,0.0,0.3786042,1.9947660364554463,11.261219775888996,22.522439551777993
